Notas,Grupo B
4,1
4.01,103
4.02,105
4.03,109
4.04,112
4.05,115
4.06,118
4.07,122
4.08,124
4.09,128
4.1,131
4.11,135
4.12,137
4.13,141
4.14,144
4.15,148
4.16,150
4.17,154
4.18,157
4.19,160
4.2,163
4.21,167
4.22,169
4.23,173
4.24,176
4.25,180
4.26,182
4.27,186
4.28,189
4.29,193
4.3,195
4.31,199
4.32,202
4.33,205
4.34,208
4.35,212
4.36,214
4.37,218
4.38,221
4.39,225
4.4,227
4.41,231
4.42,234
4.43,236
4.44,240
4.45,243
4.46,247
4.47,249
4.48,253
4.49,256
4.5,259
4.51,262
4.52,266
4.53,268
4.54,272
4.55,275
4.56,279
4.57,281
4.58,285
4.59,288
4.6,292
4.61,294
4.62,298
4.63,301
4.64,304
4.65,307
4.66,311
4.67,313
4.68,317
4.69,320
4.7,324
4.71,326
4.72,330
4.73,333
4.74,337
4.75,339
4.76,343
4.77,346
4.78,349
4.79,352
4.8,356
4.81,358
4.82,362
4.83,365
4.84,369
4.85,371
4.86,374
4.87,378
4.88,380
4.89,384
4.9,387
4.91,391
4.92,393
4.93,397
4.94,400
4.95,403
4.96,406
4.97,410
4.98,412
4.99,416
5,419
5.01,423
5.02,425
5.03,429
5.04,432
5.05,436
5.06,438
5.07,442
5.08,445
5.09,448
5.1,451
5.11,455
5.12,457
5.13,461
5.14,464
5.15,468
5.16,470
5.17,474
5.18,477
5.19,481
5.2,483
5.21,487
5.22,490
5.23,493
5.24,496
5.25,500
5.26,502
5.27,505
5.28,509
5.29,511
5.3,515
5.31,518
5.32,522
5.33,524
5.34,528
5.35,531
5.36,535
5.37,537
5.38,541
5.39,544
5.4,547
5.41,550
5.42,554
5.43,556
5.44,560
5.45,563
5.46,567
5.47,569
5.48,572
5.49,574
5.5,577
5.51,580
5.52,582
5.53,585
5.54,587
5.55,590
5.56,592
5.57,595
5.58,598
5.59,600
5.6,604
5.61,607
5.62,609
5.63,612
5.64,614
5.65,618
5.66,621
5.67,623
5.68,626
5.69,628
5.7,632
5.71,635
5.72,637
5.73,640
5.74,643
5.75,646
5.76,649
5.77,652
5.78,654
5.79,657
5.8,661
5.81,663
5.82,666
5.83,668
5.84,671
5.85,675
5.86,677
5.87,680
5.88,682
5.89,685
5.9,689
5.91,691
5.92,694
5.93,697
5.94,699
5.95,703
5.96,706
5.97,708
5.98,711
5.99,713
6,717
6.01,720
6.02,722
6.03,725
6.04,727
6.05,731
6.06,734
6.07,736
6.08,739
6.09,742
6.1,745
6.11,748
6.12,751
6.13,753
6.14,756
6.15,760
6.16,762
6.17,765
6.18,767
6.19,770
6.2,774
6.21,776
6.22,779
6.23,781
6.24,784
6.25,788
6.26,790
6.27,793
6.28,796
6.29,798
6.3,802
6.31,805
6.32,807
6.33,810
6.34,812
6.35,816
6.36,819
6.37,821
6.38,824
6.39,826
6.4,830
6.41,833
6.42,835
6.43,838
6.44,841
6.45,844
6.46,847
6.47,850
6.48,852
6.49,855
6.5,859
6.51,861
6.52,864
6.53,866
6.54,869
6.55,873
6.56,875
6.57,878
6.58,880
6.59,883
6.6,887
6.61,889
6.62,892
6.63,895
6.64,897
6.65,901
6.66,904
6.67,906
6.68,909
6.69,911
6.7,915
6.71,918
6.72,920
6.73,923
6.74,925
6.75,929
6.76,932
6.77,934
6.78,937
6.79,940
6.8,943
6.81,946
6.82,949
6.83,951
6.84,954
6.85,958
6.86,960
6.87,963
6.88,965
6.89,968
6.9,972
6.91,974
6.92,977
6.93,979
6.94,982
6.95,986
6.96,988
6.97,991
6.98,994
6.99,996
7,1
